,Area,Bairro,CEP,Cidade,DataAtualizacaoHumanizada,Endereco,Estado,FormatarSubTipoImovel,FormatarSubTipoOferta,Latitude,Longitude,PrecoCondominio,QuantidadeQuartos,QuantidadeSuites,QuantidadeVagas,SubTipo,SubTipoOferta,Tipo,UrlFicha,Valor,ValorIPTU,DataAtualizacaoEmDias,PrecoPorMetro
33,18,Ressacada,88307372,Itajaí,ontem,Rua Isaac José de Souza,SC,APARTAMENTO EM RESSACADA,Apartamento em RessacadaApartamento em Ressacada para aluguel,-26.9289409,-48.6746588,125.0,1,0,0,1,Apartamento em Ressacada,1,http://www.zapimoveis.com.br/imovel/aluguel-apartamento-1-quarto-ressacada-itajai-sc-18m2-id-2454509096?paginaoferta=107,550.0,9.0,1,30.555555555555557
34,70,Centro,88301425,Itajaí,há 3 dias,Rua Manoel Vieira Garção,SC,APARTAMENTO EM CENTRO,Apartamento em CentroApartamento em Centro para aluguel,-26.9051956,-48.6569985,390.0,2,0,0,1,Apartamento em Centro,1,http://www.zapimoveis.com.br/imovel/aluguel-apartamento-2-quartos-centro-itajai-sc-70m2-id-2454263198?paginaoferta=107,1300.0,42.0,3,18.571428571428573
35,54,Itaipava,88316301,Itajaí,há 6 dias,Avenida Itaipava,SC,APARTAMENTO EM ITAIPAVA,Apartamento em ItaipavaApartamento em Itaipava para aluguel,-26.9449649,-48.7383587,250.0,2,0,1,1,Apartamento em Itaipava,1,http://www.zapimoveis.com.br/imovel/aluguel-apartamento-2-quartos--itaipava-itajai-sc-54m2-id-2449435776?paginaoferta=103,750.0,17.0,6,13.88888888888889
36,53,São Vicente,88309410,Itajaí,há 17 dias,Rua Antônio Ayres dos Santos,SC,APARTAMENTO EM SÃO VICENTE,Apartamento em São VicenteApartamento em São Vicente para aluguel,-26.9041932,-48.6923454,279.0,2,0,1,1,Apartamento em São Vicente,1,http://www.zapimoveis.com.br/imovel/aluguel-apartamento-2-quartos-s-vicente-itajai-sc-53m2-id-2449435678?paginaoferta=104,1100.0,23.0,17,20.754716981132077
37,200,Centro,88301425,Itajaí,há 18 dias,Rua Manoel Vieira Garção,SC,CONJUNTO COMERCIAL/SALA EM CENTRO,Conjunto Comercial/Sala em CentroConjunto Comercial/Sala em Centro para aluguel,-26.904548,-48.657549,0.0,0,0,0,1,Conjunto Comercial/Sala em Centro,1,http://www.zapimoveis.com.br/imovel/aluguel-conjunto-comercial-sala-centro-itajai-sc-200m2-id-2205275518?paginaoferta=104,8000.0,0.0,18,40.0
38,36,Centro,88301700,Itajaí,há 17 dias,Avenida Ministro Victor Konder,SC,LOJA/SALÃO EM CENTRO,Loja/Salão em CentroLoja/Salão em Centro para aluguel,-26.9094434,-48.6539927,0.0,0,0,0,1,Loja/Salão em Centro,1,http://www.zapimoveis.com.br/imovel/aluguel-loja-salao-centro-itajai-sc-36m2-id-2444917941?paginaoferta=100,900.0,0.0,17,25.0
39,233,Centro,88302202,Itajaí,há 18 dias,Rua Uruguai,SC,LOJA/SALÃO EM CENTRO,Loja/Salão em CentroLoja/Salão em Centro para aluguel,-26.9110413,-48.662782,0.0,0,0,2,1,Loja/Salão em Centro,1,http://www.zapimoveis.com.br/imovel/aluguel-loja-salao-centro-itajai-sc-233m2-id-2444920417?paginaoferta=100,6900.0,0.0,18,29.613733905579398
40,137,Praia Brava,88306800,Itajaí,há 17 dias,Avenida José Medeiros Vieira,SC,APARTAMENTO EM PRAIA BRAVA,Apartamento em Praia BravaApartamento em Praia Brava para aluguel,-26.948283,-48.629348,0.0,3,1,3,1,Apartamento em Praia Brava,1,http://www.zapimoveis.com.br/imovel/aluguel-apartamento-3-quartos-com-piscina-praia-brava-itajai-sc-137m2-id-2445857596?paginaoferta=104,8000.0,0.0,17,58.394160583941606
41,1000,Ressacada,88307302,Itajaí,ontem,Avenida Vereador Abrahão João Francisco,SC,GALPÃO/DEPÓSITO/ARMAZÉM EM RESSACADA,Galpão/Depósito/Armazém em RessacadaGalpão/Depósito/Armazém em Ressacada para aluguel,-26.9225117,-49.0607072,0.0,0,0,10,1,Galpão/Depósito/Armazém em Ressacada,1,"http://www.zapimoveis.com.br/imovel/aluguel-galpao-deposito-armazem--ressacada-itajai-sc-1,000m2-id-2456392025?paginaoferta=104",18000.0,0.0,1,18.0
42,35,Centro,,Itajaí,há 18 dias,Endereço Não Informado,SC,CONJUNTO COMERCIAL/SALA EM CENTRO,Conjunto Comercial/Sala em CentroConjunto Comercial/Sala em Centro para aluguel,0.0,0.0,0.0,0,0,0,1,Conjunto Comercial/Sala em Centro,1,http://www.zapimoveis.com.br/imovel/aluguel-conjunto-comercial-sala-centro-itajai-sc-35m2-id-2173205476?paginaoferta=112,1250.0,600.0,18,35.714285714285715
43,55,São Vicente,,Itajaí,há 17 dias,Endereço Não Informado,SC,APARTAMENTO EM SÃO VICENTE,Apartamento em São VicenteApartamento em São Vicente para aluguel,0.0,0.0,236.0,2,0,0,1,Apartamento em São Vicente,1,http://www.zapimoveis.com.br/imovel/aluguel-apartamento-2-quartos-s-vicente-itajai-sc-55m2-id-2452676580?paginaoferta=112,700.0,18.0,17,12.727272727272727
44,200,São João,88305060,Itajaí,há 17 dias,Rua José Quirino,SC,CASA EM SÃO JOÃO,Casa em São JoãoCasa em São João para aluguel,-26.8991828,-48.6748274,0.0,3,3,3,2,Casa em São João,1,http://www.zapimoveis.com.br/imovel/aluguel-casa-3-quartos-com-churrasqueira-s-joao-itajai-sc-200m2-id-2445753555?paginaoferta=113,3200.0,82.0,17,16.0
